profile,dT,dL_real,dL_init_abl,dL_final_abl,dL_whole,dL_wtd_beta,dL_wtd_beta_whole,delta_b,tau,tau_wtd,tau_req_init,tau_req_wtd,tau_req_whole,tau_flux_exp,tau_vol_exp,tau_flux_per_vol_exp,tau_len_3st,tau_93pct,tau_mean_h,tau_max_h,beta_init_abl,beta_final_abl,beta_init_whole,beta_wtd,beta_wtd_whole
neutral,-0.5,1.525,1.536715940870949,1.6339492212701285,1.3707854096191527,1.5362076985935789,1.362205064361728,0.30049999999999905,54.93902622953555,61.299234170703336,54.52017043081979,54.538208001916274,61.11971604900507,50.40660347071605,70.86207080018447,26.32360755118504,55.88984247503723,65.66666666666667,61.58927341246694,72.69936389640365,93.08252648304125,98.97217671511994,83.03172095756678,93.05174104379067,82.51198911030995
neutral,-0.25,0.75,0.7696364362764634,0.7902764545397366,0.6865331252834674,0.7683119944416139,0.6836008300238299,0.15049999999999916,54.93902622953555,58.32417467421694,53.53731675114008,53.629606162920425,60.017890112933074,48.7907890508106,69.65737657175303,26.97152920098874,55.712277379598895,65.66666666666667,61.58927341246694,72.69936389640365,93.08252648304125,95.5788025895839,83.03172095756678,92.92234384828441,82.67707889763282
neutral,0.25,-0.775,-0.7645225729125086,-0.7351817173637468,-0.6819714433879037,-0.7729246622096531,-0.6885467288193425,-0.1495000000000008,54.93902622953555,51.78474521700818,55.69194008973051,55.08654000788111,62.43332582427786,44.377786999542025,67.26654381509748,27.592428268158873,56.671208233064924,72.0,61.58927341246694,72.69936389640365,93.08252648304125,89.51020427776183,83.03172095756678,94.10550177144236,83.8322783276047
neutral,0.5,-1.55,-1.5316020775069945,-1.4097282883881652,-1.3662237277235894,-1.560734259912099,-1.3935402160412136,-0.29950000000000077,54.93902622953555,49.123337615544074,55.59896523148404,54.56117216301517,62.329096565806786,42.37647178913247,66.30689117573601,28.383946435637757,56.861110943188116,71.33333333333333,61.58927341246694,72.69936389640365,93.08252648304125,85.67569387955766,83.03172095756678,94.85302365071668,84.691870016249
neutral,0.75,-2.325,-2.298681582101481,-2.021089188429258,-2.0504760120592755,-2.3701607716774733,-2.119492101127082,-0.44950000000000084,54.93902622953555,46.49690893683558,55.568042558941535,53.892224320828404,62.29443077238869,40.016817680026655,65.37854465187134,29.074190499080647,56.96356532902072,72.33333333333333,61.58927341246694,72.69936389640365,93.08252648304125,81.84173457141719,83.03172095756678,95.9769959078195,85.82644989629044
neutral,1.0,-3.075,-3.065761086695967,-2.595503483141003,-2.7347282963949606,-3.20814184469195,-2.8795856797360475,-0.5995000000000008,54.93902622953555,43.83853164247204,55.10458932659009,52.65898885840673,61.7748775549376,37.33998042543657,64.24835027375161,29.80685513201697,56.29322516490063,71.33333333333333,61.58927341246694,72.69936389640365,93.08252648304125,78.80458224703712,83.03172095756678,97.40548587291327,87.42987555598737
bottom_heavy,-1.0,2.475,2.8305378330409767,3.0752781587480875,2.9207842200133576,2.784582860728053,2.9192825395545485,0.5883559283088236,59.05793317860934,75.68212405483122,51.63979188365863,52.49202193927213,50.04422566224,45.949735427049745,74.82157049328818,10.194731314533307,54.6543195891234,65.33333333333333,70.27000146902236,82.94775085978004,81.46115925844681,88.50463715041056,84.0583954500431,80.1386030733282,84.01517799872258
bottom_heavy,-0.75,1.875,2.152528804084246,2.293169155770443,2.2211581455313034,2.1128326475691823,2.211804759370422,0.44742489146589487,59.05793317860934,70.95443272329884,51.443504263350434,52.410031072404976,49.85400293656485,44.5869797007579,73.2504657598084,10.81167685723995,54.890226588835084,66.66666666666667,70.27000146902236,82.94775085978004,81.46115925844681,86.7836088652233,84.0583954500431,79.95888206629674,83.70442217070224
bottom_heavy,-0.5,1.25,1.4517448174286998,1.5084278144294927,1.4980309765640694,1.4268727936881054,1.4897005889337114,0.3017598492255945,59.05793317860934,66.91680677469428,50.85082143018386,51.7372093713059,49.27963281679467,43.32196774256742,71.39911367336623,11.569884694455757,54.48619134234355,62.666666666666664,70.27000146902236,82.94775085978004,81.46115925844681,84.64178893281756,84.0583954500431,80.06552563007884,83.5909558385533
bottom_heavy,-0.25,0.625,0.7324238519879558,0.7460991551487816,0.7557758120298727,0.7279076362639821,0.753684330535914,0.15224170838548184,59.05793317860934,63.00261085231945,50.39596694788938,50.708642687249764,48.838832427693376,42.124243174725606,69.42297646991065,12.243152765289484,54.451912157701194,64.0,70.27000146902236,82.94775085978004,81.46115925844681,82.982144744744,84.0583954500431,80.95885971244273,83.82577808428825
bottom_heavy,0.25,-0.65,-0.7108544580532662,-0.6897081905017405,-0.7335187184470571,-0.7259918534165032,-0.7408687715803587,-0.1477582916145182,59.05793317860934,55.308066262702006,54.00213240727764,52.87615334172763,52.33357459148027,38.912822861646774,65.76291037096676,13.517058044873718,57.17345606154561,76.0,70.27000146902236,82.94775085978004,81.46115925844681,79.0378791492469,84.0583954500431,83.1958459590405,84.9006829845261
bottom_heavy,0.5,-1.275,-1.4324936130738768,-1.364341919429548,-1.4781659836855214,-1.493477392787873,-1.5093304813986437,-0.29775829161451817,59.05793317860934,51.9104476009163,52.56488693247918,50.41848317647887,50.9407371254639,37.59021915331251,63.26727007325102,14.642788787026783,54.601343427552244,64.33333333333333,70.27000146902236,82.94775085978004,81.46115925844681,77.5855985445805,84.0583954500431,84.92910448774794,85.83061704199181
bottom_heavy,0.75,-1.925,-2.1541327680944873,-1.9891749986661509,-2.2228132489239862,-2.288443187258565,-2.2957325032399254,-0.44775829161451813,59.05793317860934,49.08357523022641,52.77600482786784,49.678542164297056,51.145331900399675,36.050973946014075,61.515976800446786,15.689221762371616,54.37509938211988,68.33333333333333,70.27000146902236,82.94775085978004,81.46115925844681,75.22307991378014,84.0583954500431,86.54027165469526,86.81592603349569
bottom_heavy,1.0,-2.575,-2.875771923115098,-2.5792847687881144,-2.967460514162451,-3.1261568008389413,-3.11053279544743,-0.5977582916145181,59.05793317860934,46.27387457533819,52.88116790923706,48.64572944457173,51.24724565301963,34.31986773457891,59.748108350384626,16.905647071220553,53.99034137582323,67.33333333333333,70.27000146902236,82.94775085978004,81.46115925844681,73.06265341638687,84.0583954500431,88.55373924930876,88.11116256886254
