shape,dT,dL_real,dL_init_abl,dL_final_abl,dL_whole,dL_wtd_beta,dL_wtd_beta_whole,delta_b,tau,tau_wtd,tau_req_init,tau_req_wtd,tau_req_whole,tau_flux_exp,tau_vol_exp,tau_flux_per_vol_exp,tau_len_3st,tau_93pct,tau_mean_h,tau_max_h,beta_init_abl,beta_final_abl,beta_init_whole,beta_wtd,beta_wtd_whole
oval,-0.5,2.1,1.549827303999313,1.8239408890755981,1.4001072110114021,1.6419777722591036,1.4131953088206013,0.3028062499999993,53.87198396864023,52.007077955956774,72.99598222473608,68.89932875187084,80.80178820907678,63.99654122135367,77.45112690095266,43.69529513545047,63.093286658070014,72.0,59.70731123827139,69.06312709991676,95.0069777629972,111.8105940205474,85.82888836653976,100.65595392067341,86.6312104151382
oval,-0.25,1.0,0.7820951465557416,0.8474647893088708,0.7065413362921362,0.8068055226234123,0.709250497730614,0.15280624999999934,53.87198396864023,52.896179013436154,68.88162419353493,66.77195737762162,76.24746239385715,58.49883492201222,76.05383467483949,38.964941512472045,61.52126934941102,70.66666666666667,59.70731123827139,69.06312709991676,95.0069777629972,102.9479197606202,85.82888836653976,98.00873293295997,86.15799057574709
oval,0.25,-0.925,-0.7533691683314013,-0.7000547530591427,-0.6805904131463963,-0.7529501922863003,-0.6878240077620752,-0.14719375000000065,53.87198396864023,54.36693142751835,66.14497548573912,66.18178158595164,73.21817088286453,48.35139334337507,72.92900266793971,31.46844822854897,61.95243625520505,73.0,59.70731123827139,69.06312709991676,95.0069777629972,88.2835257302608,85.82888836653976,94.9541409208839,86.74111306551501
oval,0.5,-1.8,-1.5211013257749728,-1.3165662769049271,-1.3741562878656626,-1.520633074024151,-1.4022735663505093,-0.29719375000000064,53.87198396864023,55.11541779469237,63.74958032079041,63.76921086356191,70.5666247717466,44.16156433258355,71.13671325538925,29.02133222280086,60.45599833003883,73.66666666666667,59.70731123827139,69.06312709991676,95.0069777629972,82.23185456083337,85.82888836653976,94.9777310698782,87.58507489172396
oval,0.75,-2.6,-2.288833483218544,-1.8705166677904694,-2.067722162584929,-2.3049331206216497,-2.144188056585334,-0.44719375000000067,53.87198396864023,56.11795781813613,61.195870885942725,60.768426235589835,67.7398350962984,40.07368209811101,69.12252780574921,26.863038881008464,58.42601664984792,70.66666666666667,59.70731123827139,69.06312709991676,95.0069777629972,77.64310368799173,85.82888836653976,95.67525612573691,89.00290410171175
oval,1.0,-3.375,-3.056565640662116,-2.3312488332296444,-2.7612880373041953,-3.115884033003652,-2.9154807053441156,-0.5971937500000006,53.87198396864023,57.3991870981761,59.48439106800115,58.351961744510675,65.8453386382925,36.209014576533384,66.5773321019847,25.304554368246333,57.26473479829042,71.0,59.70731123827139,69.06312709991676,95.0069777629972,72.46201524750626,85.82888836653976,96.8507664607293,90.6216463524316
neutral,-1.0,3.05,3.0497802636835734,3.4427488518265115,2.7204730404712927,3.0788187428180276,2.712507806076127,0.5963749999999991,54.93902622953555,55.64980230956347,54.94298458004214,54.42477911080692,61.593710912516435,53.47118998690767,72.35397245516573,25.61542566288982,55.0777927053885,64.33333333333333,61.58927341246694,72.69936389640365,93.08252648304125,105.07634434867275,83.03172095756678,93.96881164766339,82.78861356049939
neutral,-0.75,2.3,2.3037055533359903,2.5272494866235435,2.054957508140267,2.30484379800076,2.0428168305564873,0.450482421874999,54.93902622953555,55.343185535780385,54.85065578148671,54.82356784331209,61.490205917828014,52.00714304323399,71.74036924940549,25.940922711603527,55.70691791106419,65.66666666666667,61.58927341246694,72.69936389640365,93.08252648304125,102.11494560458647,83.03172095756678,93.12851790282109,82.54117000973503
neutral,-0.5,1.525,1.536715940870949,1.6339492212701285,1.3707854096191527,1.5362076985935789,1.362205064361728,0.30049999999999905,54.93902622953555,55.1867613443318,54.52017043081979,54.538208001916274,61.11971604900507,50.40660347071605,70.86207080018447,26.32360755118504,55.88984247503723,65.66666666666667,61.58927341246694,72.69936389640365,93.08252648304125,98.97217671511994,83.03172095756678,93.05174104379067,82.51198911030995
neutral,-0.25,0.75,0.7696364362764634,0.7902764545397366,0.6865331252834674,0.7683119944416139,0.6836008300238299,0.15049999999999916,54.93902622953555,55.26447132633267,53.53731675114008,53.629606162920425,60.017890112933074,48.7907890508106,69.65737657175303,26.97152920098874,55.712277379598895,65.66666666666667,61.58927341246694,72.69936389640365,93.08252648304125,95.5788025895839,83.03172095756678,92.92234384828441,82.67707889763282
neutral,0.25,-0.775,-0.7645225729125086,-0.7351817173637468,-0.6819714433879037,-0.7729246622096531,-0.6885467288193425,-0.1495000000000008,54.93902622953555,55.19781787739589,55.69194008973051,55.08654000788111,62.43332582427786,44.377786999542025,67.26654381509748,27.592428268158873,56.671208233064924,72.0,61.58927341246694,72.69936389640365,93.08252648304125,89.51020427776183,83.03172095756678,94.10550177144236,83.8322783276047
neutral,0.5,-1.55,-1.5316020775069945,-1.4097282883881652,-1.3662237277235894,-1.560734259912099,-1.3935402160412136,-0.29950000000000077,54.93902622953555,55.575972765323485,55.59896523148404,54.56117216301517,62.329096565806786,42.37647178913247,66.30689117573601,28.383946435637757,56.861110943188116,71.33333333333333,61.58927341246694,72.69936389640365,93.08252648304125,85.67569387955766,83.03172095756678,94.85302365071668,84.691870016249
neutral,0.75,-2.325,-2.298681582101481,-2.021089188429258,-2.0504760120592755,-2.3701607716774733,-2.119492101127082,-0.44950000000000084,54.93902622953555,55.85879225337695,55.568042558941535,53.892224320828404,62.29443077238869,40.016817680026655,65.37854465187134,29.074190499080647,56.96356532902072,72.33333333333333,61.58927341246694,72.69936389640365,93.08252648304125,81.84173457141719,83.03172095756678,95.9769959078195,85.82644989629044
neutral,1.0,-3.075,-3.065761086695967,-2.595503483141003,-2.7347282963949606,-3.20814184469195,-2.8795856797360475,-0.5995000000000008,54.93902622953555,56.322038860338886,55.10458932659009,52.65898885840673,61.7748775549376,37.33998042543657,64.24835027375161,29.80685513201697,56.29322516490063,71.33333333333333,61.58927341246694,72.69936389640365,93.08252648304125,78.80458224703712,83.03172095756678,97.40548587291327,87.42987555598737
